UID          PID    PPID  C STIME TTY          TIME CMD
robbie      1119     982  0 10:37 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
robbie      1171     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-printer
robbie      1230     595  0 10:37 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
colord      1263       1  0 10:37 ?        00:00:00 /usr/libexec/colord
robbie      1420     595  0 10:38 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        1483       2  0 10:38 ?        00:00:00 [loop0]
robbie      1625     595  0 10:38 ?        00:00:01 /usr/libexec/gnome-terminal-server
robbie      1636    1625  0 10:38 pts/0    00:00:00 bash
root        1667       1  0 10:38 ?        00:00:01 /usr/lib/snapd/snapd
root        1765       2  0 10:38 ?        00:00:00 [loop1]
root        1827       2  0 10:38 ?        00:00:00 [loop2]
root        1891       2  0 10:38 ?        00:00:00 [loop3]
robbie      1928     982  0 10:38 ?        00:00:00 update-notifier
root        1972       2  0 10:38 ?        00:00:00 [loop4]
robbie      3868     595  0 10:41 ?        00:00:02 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
root        4038       2  0 10:44 ?        00:00:00 [kworker/u2:0-events_power_efficient]
root        4057       2  0 10:44 ?        00:00:00 [kworker/0:0-events]
robbie      4518    1636  0 10:47 pts/0    00:00:00 ps -ef
